rollover_date,old_contract,new_contract,reason,old_volume,new_volume,old_open_interest,new_open_interest
2019-07-17,201907,201908,daily_max(open_interest),53663.0,36161.0,25603.0,17700.0
2019-08-21,201908,201909,daily_max(open_interest),56960.0,26720.0,26019.0,21094.0
2019-09-18,201909,201910,daily_max(open_interest),45687.0,33247.0,33474.0,24094.0
2019-10-16,201910,201911,daily_max(open_interest),47594.0,34128.0,28052.0,25632.0
2019-11-20,201911,201912,daily_max(open_interest),62186.0,35102.0,26381.0,22716.0
2019-12-18,201912,202001,daily_max(open_interest),75318.0,32641.0,25936.0,23620.0
2020-01-15,202001,202002,daily_max(open_interest),72957.0,44710.0,21639.0,19687.0
2020-02-19,202002,202003,daily_max(open_interest),121418.0,56591.0,26023.0,23189.0
2020-03-18,202003,202004,daily_max(open_interest),321608.0,101287.0,30396.0,21714.0
2020-04-15,202004,202005,daily_max(open_interest),133731.0,57183.0,26143.0,20237.0
2020-05-20,202005,202006,daily_max(open_interest),128727.0,52785.0,24376.0,18350.0
2020-06-17,202006,202007,daily_max(open_interest),127364.0,55965.0,27127.0,18910.0
2020-07-15,202007,202008,daily_max(open_interest),115077.0,56582.0,22796.0,17319.0
2020-08-19,202008,202009,daily_max(open_interest),129053.0,63320.0,30749.0,26537.0
2020-09-16,202009,202010,daily_max(open_interest),96945.0,49322.0,35906.0,26187.0
2020-10-21,202010,202011,daily_max(open_interest),85908.0,52432.0,31844.0,22257.0
2020-11-18,202011,202012,daily_max(open_interest),118060.0,58664.0,28825.0,33990.0
2020-12-16,202012,202101,daily_max(open_interest),170900.0,46366.0,37325.0,24338.0
2021-01-20,202101,202102,daily_max(open_interest),189333.0,97680.0,36911.0,26833.0
2021-02-17,202102,202103,daily_max(open_interest),224980.0,62062.0,25646.0,26737.0
2021-03-17,202103,202104,daily_max(open_interest),161679.0,69137.0,41912.0,36289.0
2021-04-21,202104,202105,daily_max(open_interest),137833.0,64473.0,33308.0,34599.0
2021-05-17,202105,202106,daily_max(open_interest),358152.0,33770.0,31232.0,28353.0
2021-06-16,202106,202107,daily_max(open_interest),154838.0,58322.0,42250.0,24819.0
2021-07-21,202107,202108,daily_max(open_interest),207879.0,81171.0,30143.0,33679.0
2021-08-18,202108,202109,daily_max(open_interest),180634.0,96729.0,32784.0,26790.0
2021-09-15,202109,202110,daily_max(open_interest),151409.0,67244.0,31107.0,20278.0
2021-10-20,202110,202111,daily_max(open_interest),128683.0,51289.0,37254.0,25058.0
2021-11-17,202111,202112,daily_max(open_interest),90941.0,42469.0,31257.0,26527.0
2021-12-15,202112,202201,daily_max(open_interest),149350.0,49488.0,35084.0,31247.0
2022-01-19,202201,202202,daily_max(open_interest),170399.0,68940.0,28406.0,35475.0
2022-02-16,202202,202203,daily_max(open_interest),146400.0,57668.0,27514.0,33844.0
2022-03-15,202203,202204,daily_max(open_interest),180522.0,33840.0,31312.0,29405.0
2022-04-20,202204,202205,daily_max(open_interest),139805.0,63634.0,31749.0,33624.0
2022-05-18,202205,202206,daily_max(open_interest),125762.0,63618.0,36139.0,35768.0
2022-06-15,202206,202207,daily_max(open_interest),171026.0,63831.0,34948.0,33418.0
2022-07-20,202207,202208,daily_max(open_interest),138634.0,77756.0,36483.0,25244.0
2022-08-17,202208,202209,daily_max(open_interest),98288.0,48477.0,33946.0,25943.0
2022-09-21,202209,202210,daily_max(open_interest),112612.0,56981.0,31543.0,31969.0
2022-10-19,202210,202211,daily_max(open_interest),177035.0,83883.0,38031.0,31839.0
2022-11-16,202211,202212,daily_max(open_interest),192116.0,89335.0,39012.0,27996.0
2022-12-21,202212,202301,daily_max(open_interest),188790.0,59896.0,35760.0,32797.0
2023-01-30,202301,202302,daily_max(open_interest),87896.0,56162.0,29517.0,23743.0
2023-02-15,202302,202303,daily_max(open_interest),102790.0,77274.0,32902.0,30268.0
2023-03-15,202303,202304,daily_max(open_interest),155484.0,69597.0,28165.0,31329.0
2023-04-19,202304,202305,daily_max(open_interest),119176.0,62726.0,34557.0,33567.0
2023-05-17,202305,202306,daily_max(open_interest),113971.0,78264.0,37326.0,43221.0
2023-06-21,202306,202307,daily_max(open_interest),124098.0,45421.0,45181.0,29152.0
2023-07-19,202307,202308,daily_max(open_interest),150915.0,78627.0,32432.0,27775.0
2023-08-16,202308,202309,daily_max(open_interest),131340.0,72614.0,34730.0,33738.0
2023-09-20,202309,202310,daily_max(open_interest),111476.0,56490.0,34838.0,32819.0
2023-10-18,202310,202311,daily_max(open_interest),102154.0,78051.0,29997.0,38393.0
2023-11-15,202311,202312,daily_max(open_interest),89580.0,58779.0,36428.0,34412.0
