check,status,details
trade_0023:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0023:entry_price,OK,"actual=9329.0, expected=9329.0"
trade_0023:entry_date_matches_index,OK,"actual=2016-10-25 00:00:00, index_dt=2016-10-25 00:00:00"
trade_0023:exit_bar_index,OK,"actual=443, expected=443"
trade_0023:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0023:exit_price,OK,"actual=9228.0, expected=9228.0"
trade_0023:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0023:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0024:entry_is_next_bar,OK,"signal_i=460, entry_i=461"
trade_0024:entry_after_signal_date,OK,"signal=2016-11-23 00:00:00, entry=2016-11-24 00:00:00"
trade_0024:exit_not_before_entry,OK,"entry_i=461, exit_i=479"
trade_0024:signal_column_true,OK,long_entry@460
trade_0024:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0024:entry_price,OK,"actual=9160.0, expected=9160.0"
trade_0024:entry_date_matches_index,OK,"actual=2016-11-24 00:00:00, index_dt=2016-11-24 00:00:00"
trade_0024:exit_bar_index,OK,"actual=479, expected=479"
trade_0024:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0024:exit_price,OK,"actual=9261.0, expected=9261.0"
trade_0024:pnl_points,OK,"actual=101.0, expected=101.0"
trade_0024:pnl_amount,OK,"actual=5010.0, expected=5010.0"
trade_0025:entry_is_next_bar,OK,"signal_i=479, entry_i=480"
trade_0025:entry_after_signal_date,OK,"signal=2016-12-20 00:00:00, entry=2016-12-21 00:00:00"
trade_0025:exit_not_before_entry,OK,"entry_i=480, exit_i=489"
trade_0025:signal_column_true,OK,short_entry@479
trade_0025:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0025:entry_price,OK,"actual=9259.0, expected=9259.0"
trade_0025:entry_date_matches_index,OK,"actual=2016-12-21 00:00:00, index_dt=2016-12-21 00:00:00"
trade_0025:exit_bar_index,OK,"actual=489, expected=489"
trade_0025:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0025:exit_price,OK,"actual=9273.0, expected=9273.0"
trade_0025:pnl_points,OK,"actual=-14.0, expected=-14.0"
trade_0025:pnl_amount,OK,"actual=-740.0, expected=-740.0"
trade_0026:entry_is_next_bar,OK,"signal_i=489, entry_i=490"
trade_0026:entry_after_signal_date,OK,"signal=2017-01-04 00:00:00, entry=2017-01-05 00:00:00"
trade_0026:exit_not_before_entry,OK,"entry_i=490, exit_i=500"
trade_0026:signal_column_true,OK,long_entry@489
trade_0026:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0026:entry_price,OK,"actual=9272.0, expected=9272.0"
trade_0026:entry_date_matches_index,OK,"actual=2017-01-05 00:00:00, index_dt=2017-01-05 00:00:00"
trade_0026:exit_bar_index,OK,"actual=500, expected=500"
trade_0026:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0026:exit_price,OK,"actual=9303.0, expected=9303.0"
trade_0026:pnl_points,OK,"actual=31.0, expected=31.0"
trade_0026:pnl_amount,OK,"actual=1510.0, expected=1510.0"
trade_0027:entry_is_next_bar,OK,"signal_i=502, entry_i=503"
trade_0027:entry_after_signal_date,OK,"signal=2017-01-23 00:00:00, entry=2017-01-24 00:00:00"
trade_0027:exit_not_before_entry,OK,"entry_i=503, exit_i=521"
trade_0027:signal_column_true,OK,long_entry@502
