datetime,symbol,contract_month,session,open,high,low,close,volume,open_interest
2024-12-03,TMF,202412,regular,23150,23176,23000,23110,57465,35680
2024-12-04,TMF,202412,regular,23182,23293,23072,23292,51070,36429
2024-12-05,TMF,202412,regular,23268,23326,23211,23256,41179,36943
2024-12-06,TMF,202412,regular,23330,23360,23136,23179,59720,36168
2024-12-09,TMF,202412,regular,23204,23285,23171,23248,42526,36472
2024-12-10,TMF,202412,regular,23225,23335,23028,23088,61403,36197
2024-12-11,TMF,202412,regular,22881,23055,22826,22850,54060,37015
2024-12-12,TMF,202412,regular,23009,23210,23002,23107,53519,36571
2024-12-13,TMF,202412,regular,22980,23090,22889,22985,52220,37280
2024-12-16,TMF,202412,regular,23210,23268,22945,22965,58547,33885
2024-12-17,TMF,202412,regular,23110,23214,23026,23034,43865,30044
2024-12-18,TMF,202412,regular,22929,23198,22902,23107,39963,15097
2024-12-19,TMF,202501,regular,22759,22905,22720,22852,70051,32081
2024-12-20,TMF,202501,regular,22780,22793,22591,22632,70422,38370
2024-12-23,TMF,202501,regular,22895,23242,22895,23238,63287,27518
2024-12-24,TMF,202501,regular,23427,23449,23189,23215,46272,26937
2024-12-25,TMF,202501,regular,23345,23348,23243,23329,32776,28403
2024-12-26,TMF,202501,regular,23358,23380,23286,23325,26691,27308
2024-12-27,TMF,202501,regular,23206,23375,23155,23373,37608,26003
2024-12-30,TMF,202501,regular,23208,23321,23156,23172,34631,30727
2024-12-31,TMF,202501,regular,23012,23108,22957,23048,42652,38490
2025-01-02,TMF,202501,regular,22945,22992,22690,22842,71063,45675
2025-01-03,TMF,202501,regular,22900,23106,22900,22978,61771,37065
2025-01-06,TMF,202501,regular,23225,23620,23218,23611,64896,39429
2025-01-07,TMF,202501,regular,23961,23990,23727,23751,50973,39323
2025-01-08,TMF,202501,regular,23550,23648,23441,23455,51630,35415
2025-01-09,TMF,202501,regular,23278,23410,23084,23099,57438,41340
2025-01-10,TMF,202501,regular,23081,23138,22957,23052,55941,41342
2025-01-13,TMF,202501,regular,22968,23010,22431,22530,82434,40808
2025-01-14,TMF,202501,regular,22568,22766,22531,22755,48456,32168
2025-01-15,TMF,202501,regular,22717,22748,22494,22517,33265,19959
2025-01-16,TMF,202502,regular,23050,23215,22991,23032,67052,30557
2025-01-17,TMF,202502,regular,23277,23300,22956,23195,71474,31910
2025-01-20,TMF,202502,regular,23273,23416,23223,23349,43323,31638
2025-01-21,TMF,202502,regular,23419,23431,23206,23368,49900,32124
2025-01-22,TMF,202502,regular,23595,23720,23573,23700,42972,35840
2025-02-03,TMF,202502,regular,22927,22931,22569,22595,77918,31412
2025-02-04,TMF,202502,regular,22909,22941,22710,22825,50306,32529
2025-02-05,TMF,202502,regular,23066,23281,23063,23134,49642,34967
2025-02-06,TMF,202502,regular,23360,23378,23235,23293,38660,36901
2025-02-07,TMF,202502,regular,23290,23464,23281,23432,39186,39032
2025-02-10,TMF,202502,regular,23315,23364,23167,23242,51588,35023
2025-02-11,TMF,202502,regular,23383,23501,23303,23341,44171,37673
2025-02-12,TMF,202502,regular,23424,23535,23294,23310,46620,37235
2025-02-13,TMF,202502,regular,23430,23451,23257,23401,42706,38916
2025-02-14,TMF,202502,regular,23339,23354,23117,23175,55853,40094
2025-02-17,TMF,202502,regular,23300,23538,23270,23508,44121,36471
2025-02-18,TMF,202502,regular,23572,23663,23468,23650,30047,34960
2025-02-19,TMF,202502,regular,23563,23698,23560,23610,24069,8924
2025-02-20,TMF,202503,regular,23520,23563,23374,23533,64324,25123
2025-02-21,TMF,202503,regular,23535,23760,23475,23750,56170,31434
2025-02-24,TMF,202503,regular,23539,23563,23445,23552,48720,28532
2025-02-25,TMF,202503,regular,23215,23344,23140,23295,55922,36934
